job_title,overall_score,keyword_score,coverage_percentage,strong_match_percentage,missing_keywords,improvement_suggestions
Security Engineer,47.16,0.0,0.0,0.0,"artist, evidence, near, purpose, security, activity, activity expert, adult, adult like, agent, agent adult, artist bar, artist record, ask, ask east, aws, aws linux, bar, bar right, billion","Consider adding experience or skills related to: artist, evidence, near, purpose, security
Your resume has low keyword coverage. Consider adding more relevant experience and skills.
Focus on highlighting specific achievements and quantifiable results in your experience."
Cloud Architect,47.26,0.0,0.0,0.0,"number, pattern, treat, voice, analysis, analysis doctor, architecture, architecture aws, argue, argue big, artist, artist opportunity, ask, ask open, attack, attack dinner, available, available history, aws, aws terraform","Consider adding experience or skills related to: number, pattern, treat, voice, analysis
Your resume has low keyword coverage. Consider adding more relevant experience and skills.
Focus on highlighting specific achievements and quantifiable results in your experience."
UX Designer,51.5,0.0006316139407998893,10.0,0.0,"firm, life, able, able collection, adobe, adobe xd, appear, appear life, area, area store, author, author price, available, available summer, away, away sort, bad, bad firm, blue, blue mean","Consider adding experience or skills related to: firm, life, able, able collection, adobe
Your resume has low keyword coverage. Consider adding more relevant experience and skills.
Focus on highlighting specific achievements and quantifiable results in your experience."
Backend Developer,48.82,0.0,0.0,0.0,"country, effect, film, star, actually, actually born, address, address new, administration, administration adult, adult, adult parent, authority, authority country, bag, bag write, born, born team, bring, bring join","Consider adding experience or skills related to: country, effect, film, star, actually
Your resume has low keyword coverage. Consider adding more relevant experience and skills.
Focus on highlighting specific achievements and quantifiable results in your experience."
UX Designer,48.34,0.0,0.0,0.0,"design, draw, mission, theory, adobe, adobe xd, apply, apply hospital, arm, arm support, attorney, attorney beat, bad, bad leave, bank, bank sure, beat, beat thing, best, best bank","Consider adding experience or skills related to: design, draw, mission, theory, adobe
Your resume has low keyword coverage. Consider adding more relevant experience and skills.
Focus on highlighting specific achievements and quantifiable results in your experience."
Cloud Architect,51.69,0.0006401843996644801,10.0,0.0,"early, federal, left, person, professional, act, act early, activity, activity federal, administration, administration design, architecture, architecture terraform, assume, assume visit, attention, attention activity, away, away act, aws","Consider adding experience or skills related to: early, federal, left, person, professional
Your resume has low keyword coverage. Consider adding more relevant experience and skills.
Focus on highlighting specific achievements and quantifiable results in your experience."
Database Administrator,46.89,0.0,0.0,0.0,"owner, throw, able, able relationship, address, address look, administration, administration range, agency, agency sister, approach, approach owner, arrive, arrive note, assume, assume impact, attention, attention address, available, available assume","Consider adding experience or skills related to: owner, throw, able, able relationship, address
Your resume has low keyword coverage. Consider adding more relevant experience and skills.
Focus on highlighting specific achievements and quantifiable results in your experience."
System Administrator,49.81,9.240265886932161e-05,5.0,0.0,"family, like, ability, ability eye, agreement, agreement avoid, artist, artist chair, automation, automation monitoring, avoid, avoid newspaper, away, away read, base, base federal, beat, beat debate, believe, believe office","Consider adding experience or skills related to: family, like, ability, ability eye, agreement
Your resume has low keyword coverage. Consider adding more relevant experience and skills.
Focus on highlighting specific achievements and quantifiable results in your experience."
Full Stack Developer,51.36,5.91892154762973e-05,5.0,0.0,"foot, budget, build, dinner, seven, agreement, agreement shake, american, american grow, arm, arm bit, art, art test, behavior, behavior space, bit, bit include, black, black sell, boy","Consider adding experience or skills related to: foot, budget, build, dinner, seven
Your resume has low keyword coverage. Consider adding more relevant experience and skills.
Focus on highlighting specific achievements and quantifiable results in your experience."
Data Engineer,49.3,0.00022111487100582314,10.0,0.0,"activity, conference, create, good, level, accept, accept level, activity popular, activity possible, add, add free, airflow, airflow spark, american, american rich, approach, approach low, arrive, arrive minute, artist","Consider adding experience or skills related to: activity, conference, create, good, level
Your resume has low keyword coverage. Consider adding more relevant experience and skills.
Focus on highlighting specific achievements and quantifiable results in your experience."
QA Engineer,48.58,0.0,0.0,0.0,"campaign, apply, test, way, actually, actually responsibilities, adult, adult requirements, age, age occur, agent, agent way, air, air company, allow, allow increase, api, api testing, apply design, apply strong","Consider adding experience or skills related to: campaign, apply, test, way, actually
Your resume has low keyword coverage. Consider adding more relevant experience and skills.
Focus on highlighting specific achievements and quantifiable results in your experience."
Technical Lead,46.72,9.29117682808958e-05,5.0,0.0,"individual, issue, poor, wonder, according, according wonder, allow, allow camera, approach, approach responsibilities, architecture, beat, beat defense, beautiful, beautiful year, body, body want, camera, camera step, center","Consider adding experience or skills related to: individual, issue, poor, wonder, according
Your resume has low keyword coverage. Consider adding more relevant experience and skills.
Focus on highlighting specific achievements and quantifiable results in your experience."
Data Engineer,52.29,0.00028964222318174614,10.0,0.0,"box, job, resource, adult, adult threat, airflow, airflow python, approach, approach prove, box magazine, box tough, cause, cause chance, certain, certain box, chance, chance require, commercial, commercial long, data","Consider adding experience or skills related to: box, job, resource, adult, adult threat
Your resume has low keyword coverage. Consider adding more relevant experience and skills.
Focus on highlighting specific achievements and quantifiable results in your experience."
Research Scientist,45.41,0.0,0.0,0.0,"ahead, just, research, sell, actually, actually organization, ahead significant, ahead study, analysis, analysis research, attack, attack morning, bed, bed sell, car, car work, child, child sell, collection, collection field","Consider adding experience or skills related to: ahead, just, research, sell, actually
Your resume has low keyword coverage. Consider adding more relevant experience and skills.
Focus on highlighting specific achievements and quantifiable results in your experience."
DevOps Engineer,49.06,0.0001796053020267749,5.0,0.0,"forget, coach, act, act hot, action, action ball, ago, ago hair, approach, approach act, aws, aws docker, baby, baby stop, ball, ball energy, bed, bed clearly, behavior, behavior central","Consider adding experience or skills related to: forget, coach, act, act hot, action
Your resume has low keyword coverage. Consider adding more relevant experience and skills.
Focus on highlighting specific achievements and quantifiable results in your experience."
Software Engineer,47.24,0.0,0.0,0.0,"candidate, debate, public, rest, simply, according, according simply, actually, actually simply, apis, apis python, attack, attack share, aws, aws javascript, black, black form, bring, bring tax, candidate according","Consider adding experience or skills related to: candidate, debate, public, rest, simply
Your resume has low keyword coverage. Consider adding more relevant experience and skills.
Focus on highlighting specific achievements and quantifiable results in your experience."
Machine Learning Engineer,49.54,0.00011688114555304612,5.0,0.0,"ago, number, reality, report, act, act report, ago direction, ago number, answer, answer week, authority, authority difficult, away, away necessary, believe, believe environmental, benefit, benefit late, big, big team","Consider adding experience or skills related to: ago, number, reality, report, act
Your resume has low keyword coverage. Consider adding more relevant experience and skills.
Focus on highlighting specific achievements and quantifiable results in your experience."
Research Scientist,48.23,0.0,0.0,0.0,"cost, million, natural, remember, accept, accept half, according, according weight, administration, administration minute, ahead, ahead music, analysis, analysis machine, attorney, attorney pass, authority, authority cost, brother, brother smile","Consider adding experience or skills related to: cost, million, natural, remember, accept
Your resume has low keyword coverage. Consider adding more relevant experience and skills.
Focus on highlighting specific achievements and quantifiable results in your experience."
Full Stack Developer,50.83,7.497001798800839e-05,5.0,0.0,"mention, arrive, arrive imagine, attention, attention black, black, black ground, career, career responsibilities, century, century career, choose, choose study, college, college century, congress, congress edge, day, day knowledge, debate","Consider adding experience or skills related to: mention, arrive, arrive imagine, attention, attention black
Your resume has low keyword coverage. Consider adding more relevant experience and skills.
Focus on highlighting specific achievements and quantifiable results in your experience."
Database Administrator,48.93,0.0,0.0,0.0,"development, discuss, popular, analysis, analysis popular, attack, attack speak, bag, bag task, bring, bring discuss, coach, coach start, crime, crime town, database, database design, design, design sql, development past","Consider adding experience or skills related to: development, discuss, popular, analysis, analysis popular
Your resume has low keyword coverage. Consider adding more relevant experience and skills.
Focus on highlighting specific achievements and quantifiable results in your experience."
